,INSTNM,LOCALE,LATITUDE,LONGITUDE,ADM_RATE,UGDS,ENDOWEND
693,Palm Beach Atlantic University,12.0,26.7044,-80.05247,0.9171,2370.0,85378000.0
702,Ringling College of Art and Design,13.0,27.360931,-82.547803,0.6851,1623.0,54158140.0
704,Rollins College,21.0,28.592787,-81.349239,0.6081,2536.0,363485000.0
706,Saint Leo University,23.0,28.336776,-82.257801,0.73,6745.0,68249428.0
713,St. John Vianney College Seminary,21.0,25.742579,-80.337411,0.9231,57.0,8387178.0
716,University of South Florida,11.0,28.061458,-82.413232,0.4924,37002.0,532155863.0
717,St. Thomas University,21.0,25.922071,-80.253273,0.5962,1636.0,31262200.0
718,Stetson University,13.0,29.035475,-81.300746,0.8149,3119.0,306140929.0
719,Southeastern University,12.0,28.029733,-81.918382,0.4266,5342.0,9809282.0
725,The University of Tampa,11.0,27.948455,-82.46483,0.5551,8645.0,43579167.0
728,Trinity Baptist College,11.0,30.311171,-81.79626,0.6748,323.0,88861.0
729,Trinity College of Florida,21.0,28.194732,-82.678318,0.5048,210.0,811332.0
731,Warner University,41.0,27.825751,-81.599972,0.5412,815.0,6657314.0
733,Webber International University,31.0,27.838778,-81.532315,0.3778,735.0,6070744.0
735,The University of West Florida,13.0,30.549076,-87.218511,0.5756,9196.0,63513251.0
740,Abraham Baldwin Agricultural College,32.0,31.481889,-83.528281,0.7599,3546.0,17667420.0
741,Agnes Scott College,21.0,33.769268,-84.295459,0.6752,980.0,204799430.0
745,Albany State University,13.0,31.56928,-84.141825,0.7302,5839.0,3275118.0
746,Andrew College,32.0,31.772321,-84.795021,0.5864,288.0,7542078.0
750,Point University,32.0,32.87912,-85.184931,0.3487,895.0,4697342.0
754,Clark Atlanta University,11.0,33.747628,-84.412584,0.5905,3092.0,74408547.0
756,Berry College,23.0,34.290414,-85.189202,0.7722,1992.0,981510692.0
758,Brenau University,13.0,34.303117,-83.821513,0.9219,1590.0,50103721.0
759,Brewton-Parker College,42.0,32.185718,-82.586136,0.9814,556.0,7530823.0
760,College of Coastal Georgia,13.0,31.182745,-81.485973,0.9594,2976.0,9558751.0
762,Clayton  State University,21.0,33.594079,-84.328174,0.6854,5375.0,15479898.0
765,Columbus State University,12.0,32.50096,-84.94106,0.7832,6482.0,71863879.0
767,Covenant College,41.0,34.965161,-85.375066,0.9755,842.0,43363592.0
772,Emmanuel College,32.0,34.283641,-83.14822,0.5275,779.0,1703895.0
773,Emory University,11.0,33.790183,-84.325512,0.1917,6978.0,9169027771.0
775,Fort Valley State University,31.0,32.537595,-83.89537,0.7232,2767.0,6672697.0
777,Georgia Institute of Technology-Main Campus,11.0,33.77242,-84.394832,0.2134,15743.0,2169707000.0
778,Georgia Southwestern State University,32.0,32.054662,-84.217738,0.734,2201.0,37134671.0
779,Georgia College & State University,32.0,33.082787,-83.231962,0.8594,5549.0,44832809.0
780,Georgia Southern University,32.0,32.426153,-81.784045,0.9117,22275.0,76143787.0
781,Georgia State University,11.0,33.7527,-84.38667,0.8239,28085.0,173375796.0
782,University of Georgia,12.0,33.956262,-83.374039,0.4838,29705.0,1362445927.0
783,Gordon State College,32.0,33.04571,-84.154508,0.7878,2732.0,3866311.0
789,LaGrange College,32.0,33.038564,-85.043113,0.5967,741.0,48401939.0
794,Mercer University,12.0,32.831787,-83.648295,0.7816,4725.0,361437355.0
795,Morehouse College,11.0,33.745982,-84.414917,0.7707,2152.0,157080773.0
798,Oglethorpe University,21.0,33.875441,-84.333687,0.6693,1415.0,36496183.0
799,Paine College,12.0,33.469545,-81.993225,0.7499,179.0,12262944.0
800,Piedmont University,32.0,34.566042,-83.542126,0.7008,1231.0,51579957.0
802,Reinhardt University,41.0,34.319756,-84.554264,0.9869,1253.0,35910539.0
804,Savannah College of Art and Design,12.0,32.072963,-81.093849,0.7792,11398.0,173469250.0
805,Savannah State University,12.0,32.024781,-81.063377,0.4614,3115.0,10114911.0
806,Shorter University,13.0,34.257543,-85.196529,0.7093,1151.0,14086729.0
809,Spelman College,11.0,33.745279,-84.411527,0.5258,2206.0,377941509.0
810,Thomas University,32.0,30.815576,-83.963587,0.3452,674.0,5481270.0
811,Toccoa Falls College,32.0,34.593414,-83.357617,0.5773,840.0,3295584.0
812,Truett McConnell University,32.0,34.596306,-83.748911,0.9729,859.0,6445073.0
814,Valdosta State University,13.0,30.847402,-83.289282,0.7845,9367.0,60095044.0
815,Wesleyan College,12.0,32.876037,-83.715417,0.5981,612.0,53357692.0
816,University of West Georgia,31.0,33.573621,-85.097762,0.7762,9444.0,30824563.0
817,Young Harris College,43.0,34.933523,-83.84587,0.6503,923.0,111558205.0
818,Chaminade University of Honolulu,11.0,21.28995,-157.807851,0.8897,1623.0,24162663.0
819,University of Hawaii at Hilo,33.0,19.701189,-155.080847,0.7383,2563.0,283538.0
820,University of Hawaii at Manoa,11.0,21.298598,-157.818979,0.8369,12864.0,45302778.0
822,Hawaii Pacific University,11.0,21.310306,-157.859645,0.814,2652.0,43037065.0
828,University of Hawaii-West Oahu,21.0,21.35531,-158.056403,0.9523,2755.0,233955.0
831,Boise Bible College,21.0,43.658651,-116.291321,0.9038,94.0,1080715.0
832,Boise State University,12.0,43.604284,-116.203301,0.7749,16973.0,117222395.0
835,University of Idaho,32.0,46.727406,-117.014167,0.7444,6837.0,286512215.0
